Assignment,Attendence,Book,Course,Feedback,Lecture,Manual,Page,Project,Questionnaire,Quiz,Source,Study_material,Survey,Test,URL
187.0,2.0,3.0,77.0,1.0,14.0,5.0,0.0,0.0,0.0,186.0,4.0,9.0,13.0,150.0,1.0
33660.0,360.0,540.0,13860.0,180.0,2520.0,900.0,0.0,0.0,0.0,33480.0,720.0,1620.0,2340.0,27000.0,180.0
78914.0,844.0,1266.0,32494.0,422.0,5908.0,2110.0,0.0,0.0,0.0,78492.0,1688.0,3798.0,5486.0,63300.0,422.0
14025.0,150.0,225.0,5775.0,75.0,1050.0,375.0,0.0,0.0,0.0,13950.0,300.0,675.0,975.0,11250.0,75.0
8802.0,27.0,108.0,5535.0,0.0,594.0,702.0,54.0,0.0,27.0,4347.0,0.0,1134.0,324.0,14445.0,81.0
106928.0,328.0,1312.0,67240.0,0.0,7216.0,8528.0,656.0,0.0,328.0,52808.0,0.0,13776.0,3936.0,175480.0,984.0
294052.0,902.0,3608.0,184910.0,0.0,19844.0,23452.0,1804.0,0.0,902.0,145222.0,0.0,37884.0,10824.0,482570.0,2706.0
34556.0,106.0,424.0,21730.0,0.0,2332.0,2756.0,212.0,0.0,106.0,17066.0,0.0,4452.0,1272.0,56710.0,318.0
1848.0,6.0,54.0,1014.0,0.0,900.0,174.0,18.0,0.0,6.0,516.0,0.0,162.0,66.0,2382.0,12.0
148764.0,483.0,4347.0,81627.0,0.0,72450.0,14007.0,1449.0,0.0,483.0,41538.0,0.0,13041.0,5313.0,191751.0,966.0
190036.0,617.0,5553.0,104273.0,0.0,92550.0,17893.0,1851.0,0.0,617.0,53062.0,0.0,16659.0,6787.0,244949.0,1234.0
46200.0,150.0,1350.0,25350.0,0.0,22500.0,4350.0,450.0,0.0,150.0,12900.0,0.0,4050.0,1650.0,59550.0,300.0
2167.0,0.0,22.0,913.0,0.0,836.0,231.0,44.0,0.0,11.0,3696.0,0.0,110.0,55.0,4939.0,11.0
86483.0,0.0,878.0,36437.0,0.0,33364.0,9219.0,1756.0,0.0,439.0,147504.0,0.0,4390.0,2195.0,197111.0,439.0
131202.0,0.0,1332.0,55278.0,0.0,50616.0,13986.0,2664.0,0.0,666.0,223776.0,0.0,6660.0,3330.0,299034.0,666.0
18321.0,0.0,186.0,7719.0,0.0,7068.0,1953.0,372.0,0.0,93.0,31248.0,0.0,930.0,465.0,41757.0,93.0
1698.0,6.0,30.0,612.0,0.0,366.0,96.0,0.0,0.0,0.0,588.0,0.0,198.0,102.0,1674.0,24.0
83485.0,295.0,1475.0,30090.0,0.0,17995.0,4720.0,0.0,0.0,0.0,28910.0,0.0,9735.0,5015.0,82305.0,1180.0
149141.0,527.0,2635.0,53754.0,0.0,32147.0,8432.0,0.0,0.0,0.0,51646.0,0.0,17391.0,8959.0,147033.0,2108.0
27451.0,97.0,485.0,9894.0,0.0,5917.0,1552.0,0.0,0.0,0.0,9506.0,0.0,3201.0,1649.0,27063.0,388.0
3230.0,10.0,50.0,1170.0,0.0,770.0,300.0,30.0,0.0,0.0,1150.0,0.0,250.0,110.0,2360.0,10.0
120802.0,374.0,1870.0,43758.0,0.0,28798.0,11220.0,1122.0,0.0,0.0,43010.0,0.0,9350.0,4114.0,88264.0,374.0
160854.0,498.0,2490.0,58266.0,0.0,38346.0,14940.0,1494.0,0.0,0.0,57270.0,0.0,12450.0,5478.0,117528.0,498.0
32623.0,101.0,505.0,11817.0,0.0,7777.0,3030.0,303.0,0.0,0.0,11615.0,0.0,2525.0,1111.0,23836.0,101.0
32612.0,124.0,558.0,14694.0,0.0,4464.0,3348.0,744.0,0.0,62.0,18786.0,62.0,4092.0,434.0,21824.0,248.0
